distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
11. Carabanchel,11097,473.0,29.0,32.0,57.0,20.0,4.0,2.0,63.0,101.0,34.0,14.0,5.0,13.0,7.0,2.0,32.0,15.0,4.0,0.0,12.0,25.0,2.0,0.0
11. Carabanchel,11098,551.0,33.0,32.0,67.0,16.0,12.0,2.0,43.0,115.0,30.0,26.0,5.0,39.0,6.0,3.0,52.0,23.0,4.0,3.0,19.0,21.0,0.0,0.0
11. Carabanchel,11099,411.0,22.0,19.0,56.0,14.0,5.0,4.0,30.0,109.0,20.0,15.0,4.0,29.0,5.0,3.0,34.0,10.0,2.0,0.0,16.0,14.0,0.0,0.0
11. Carabanchel,11100,770.0,57.0,48.0,76.0,14.0,14.0,0.0,76.0,116.0,30.0,32.0,8.0,55.0,23.0,10.0,75.0,39.0,4.0,7.0,41.0,45.0,0.0,0.0
11. Carabanchel,11101,617.0,51.0,49.0,67.0,18.0,11.0,2.0,76.0,92.0,28.0,22.0,4.0,38.0,6.0,3.0,53.0,17.0,7.0,3.0,28.0,42.0,0.0,0.0
11. Carabanchel,11102,545.0,40.0,41.0,57.0,18.0,11.0,0.0,72.0,68.0,27.0,18.0,2.0,40.0,14.0,1.0,36.0,24.0,2.0,0.0,29.0,44.0,1.0,0.0
11. Carabanchel,11103,670.0,66.0,59.0,72.0,21.0,8.0,0.0,85.0,84.0,31.0,20.0,5.0,34.0,16.0,4.0,57.0,16.0,9.0,3.0,43.0,37.0,0.0,0.0
11. Carabanchel,11104,468.0,43.0,38.0,62.0,14.0,6.0,0.0,48.0,75.0,18.0,9.0,3.0,23.0,9.0,2.0,42.0,21.0,4.0,1.0,16.0,34.0,0.0,0.0
11. Carabanchel,11105,360.0,24.0,23.0,39.0,12.0,4.0,0.0,37.0,64.0,15.0,10.0,3.0,12.0,5.0,6.0,38.0,12.0,2.0,0.0,16.0,37.0,1.0,0.0
11. Carabanchel,11106,350.0,25.0,18.0,38.0,9.0,4.0,4.0,44.0,61.0,11.0,7.0,1.0,17.0,8.0,1.0,18.0,17.0,4.0,1.0,28.0,34.0,0.0,0.0
11. Carabanchel,11107,475.0,19.0,22.0,67.0,18.0,8.0,1.0,46.0,98.0,14.0,16.0,2.0,29.0,12.0,6.0,39.0,16.0,3.0,2.0,20.0,37.0,0.0,0.0
11. Carabanchel,11108,482.0,32.0,42.0,70.0,16.0,6.0,1.0,55.0,70.0,23.0,4.0,2.0,29.0,7.0,4.0,41.0,14.0,4.0,2.0,22.0,37.0,1.0,0.0
11. Carabanchel,11109,515.0,33.0,32.0,71.0,13.0,11.0,0.0,53.0,73.0,25.0,18.0,8.0,30.0,10.0,5.0,40.0,15.0,6.0,4.0,26.0,41.0,1.0,0.0
11. Carabanchel,11110,417.0,29.0,24.0,48.0,10.0,11.0,0.0,52.0,46.0,18.0,4.0,4.0,18.0,10.0,4.0,32.0,16.0,9.0,4.0,23.0,55.0,0.0,0.0
11. Carabanchel,11111,448.0,35.0,29.0,46.0,6.0,9.0,3.0,64.0,38.0,20.0,5.0,6.0,27.0,7.0,3.0,51.0,12.0,3.0,2.0,22.0,59.0,1.0,0.0
11. Carabanchel,11112,520.0,32.0,42.0,76.0,13.0,10.0,0.0,72.0,92.0,25.0,9.0,2.0,25.0,8.0,4.0,31.0,19.0,3.0,2.0,20.0,35.0,0.0,0.0
11. Carabanchel,11113,579.0,52.0,32.0,49.0,10.0,9.0,0.0,72.0,71.0,24.0,12.0,3.0,48.0,15.0,5.0,55.0,25.0,6.0,1.0,29.0,61.0,0.0,0.0
11. Carabanchel,11114,515.0,47.0,36.0,63.0,12.0,8.0,1.0,65.0,57.0,35.0,11.0,3.0,32.0,18.0,3.0,43.0,14.0,1.0,3.0,25.0,38.0,0.0,0.0
11. Carabanchel,11115,769.0,80.0,60.0,78.0,15.0,12.0,1.0,90.0,92.0,31.0,23.0,4.0,50.0,11.0,6.0,60.0,35.0,6.0,7.0,41.0,66.0,0.0,1.0
11. Carabanchel,11116,355.0,29.0,42.0,42.0,14.0,6.0,0.0,36.0,37.0,26.0,12.0,2.0,18.0,8.0,1.0,27.0,10.0,2.0,0.0,18.0,25.0,0.0,0.0
11. Carabanchel,11117,639.0,47.0,39.0,54.0,15.0,16.0,3.0,87.0,59.0,42.0,21.0,1.0,40.0,14.0,7.0,52.0,30.0,7.0,7.0,25.0,73.0,0.0,0.0
11. Carabanchel,11118,449.0,43.0,39.0,56.0,12.0,10.0,2.0,59.0,42.0,15.0,15.0,3.0,18.0,13.0,5.0,34.0,10.0,1.0,3.0,31.0,37.0,1.0,0.0
11. Carabanchel,11119,485.0,39.0,47.0,39.0,11.0,9.0,1.0,65.0,53.0,26.0,11.0,7.0,23.0,7.0,3.0,38.0,16.0,9.0,5.0,23.0,52.0,1.0,0.0
11. Carabanchel,11120,440.0,35.0,36.0,38.0,15.0,13.0,2.0,51.0,53.0,24.0,12.0,2.0,23.0,10.0,4.0,39.0,17.0,1.0,3.0,19.0,43.0,0.0,0.0
11. Carabanchel,11121,548.0,33.0,38.0,53.0,11.0,13.0,0.0,76.0,54.0,25.0,20.0,6.0,32.0,8.0,5.0,59.0,15.0,12.0,7.0,25.0,55.0,1.0,0.0
11. Carabanchel,11122,412.0,21.0,33.0,37.0,8.0,12.0,0.0,43.0,55.0,21.0,18.0,6.0,16.0,9.0,6.0,31.0,9.0,2.0,2.0,30.0,53.0,0.0,0.0
11. Carabanchel,11123,188.0,15.0,26.0,14.0,2.0,4.0,0.0,25.0,19.0,14.0,12.0,1.0,13.0,6.0,2.0,7.0,6.0,1.0,1.0,6.0,6.0,7.0,1.0
11. Carabanchel,11124,652.0,48.0,50.0,62.0,24.0,16.0,1.0,75.0,82.0,46.0,20.0,3.0,38.0,13.0,5.0,55.0,38.0,3.0,1.0,25.0,47.0,0.0,0.0
11. Carabanchel,11125,586.0,49.0,53.0,55.0,16.0,17.0,1.0,66.0,71.0,34.0,19.0,13.0,52.0,20.0,7.0,33.0,30.0,5.0,2.0,21.0,21.0,1.0,0.0
11. Carabanchel,11126,522.0,44.0,54.0,18.0,15.0,8.0,2.0,79.0,38.0,42.0,36.0,4.0,57.0,26.0,3.0,22.0,56.0,0.0,3.0,4.0,11.0,0.0,0.0
